title,url,date,start_time,end_time,image_url,location,recurrence,category,details,source
Chickamauga Dam Lock Through Kayak Tour with Chattanooga Guided Adventures,N/A,2024-08-19,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/CGA-Chickamanga_17047717-561C-4434-B479C10F432C4937_42bd9946-ca66-4b83-9259ff2418b75f33.jpg",Hubert Fry Center Boatramp,"Recurring daily until November 10, 2024",N/A,N/A,Visit Chattanooga
Exhibit Admission,N/A,2024-08-19,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Tennessee-Valley-Railroad-Museum-Exhibit-Building-03-scaled_4F4495E7-023E-49F5-89D214567AE32153_fc60f811-20ec-4b1f-80574d7f0d0d1c4a.jpg",Tennessee Valley Railroad Museum,"Recurring daily until December 23, 2024",N/A,N/A,Visit Chattanooga
Mountain Bike Rental with Chattanooga Guided Adventures,N/A,2024-08-19,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Incline-Railway-Bike-Tour_E81C8BF8-A9AE-4386-99A3AE8E86E6EFF0_8c1b23e6-485b-4296-9d4b5d7719fd0143.jpg",Chattanooga Guided Adventures,"Recurring daily until January 21, 2025",N/A,N/A,Visit Chattanooga
Nickajack Bat Cave Kayak Tour with Chattanooga Guided Adventures,N/A,2024-08-19,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Nickajack-Bat-Cave-Sunset-Kayak-Tour_6F28E129-02C9-4D96-A9031235E67BFB56_4fca779d-b1b8-4613-9d4c7a0faa9487a5.jpg",Chattanooga Guided Adventures,"Recurring daily until October 13, 2024",N/A,N/A,Visit Chattanooga
Ruby Falls History Exhibit: Celebrating 95 Years of Wonder!,N/A,2024-08-19,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/exhibit_67559FE5-978B-483E-8D00CCB039CDF985_42d2cd7d-a013-4fa8-9169c14e67bb5dcb.jpg",Ruby Falls,"Recurring daily until October 20, 2024",N/A,N/A,Visit Chattanooga
"""Home and Away""",N/A,2024-08-19,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Chattanooga-collage-copy_3A4D3FC1-A17E-974B-6BF212B8FF3C24B0_3a55b2a8-c680-313c-36860ca4ad8df2c3.jpg",In-Town Gallery,"Recurring daily until August 31, 2024",N/A,N/A,Visit Chattanooga
History Tour - New Cave Adventure!,N/A,2024-08-19,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/History-Tour_03F38BD5-B899-4F31-B99475A7612C4AB1_ce536786-a5b0-44cc-85359e8800fa2601.jpg",Ruby Falls,N/A,N/A,N/A,Visit Chattanooga
Live Music every Tuesday & Saturday at Honey Seed,N/A,2024-08-20,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/honey-seed-exterior_CE982A8C-E97E-161D-6083B678CC18FA38_ce9a56a4-f41a-b43c-1cf05085385a5eff.jpg",Honey Seed,"Recurring weekly on Tuesday, Saturday until February 25, 2025",N/A,N/A,Visit Chattanooga
Night Ranger Live In Concert,N/A,2024-08-20,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Night-Ranger1_DA072D6B-92D7-35B3-73FF2DCE8FCF75A1_da091080-c8fd-bad9-370f64b94e15a55a.jpg",Walker Theatre,N/A,N/A,N/A,Visit Chattanooga
Live Music with Eric Kirkendoll,N/A,2024-08-21,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/eric-kirkandoll-2_C2A0F1A0-B001-0925-70F691E259936ECE_c2a9e134-deb8-87d6-b0f501363fda98ba.jpg",1885 Grill,N/A,N/A,N/A,Visit Chattanooga
