title,url,date,start_time,end_time,image_url,location,recurrence,category,details
Link Up at the Library with 423 Chain Breakers,https://chattlibrary.org/event/link-up-at-the-library-with-423-chain-breakers/2024-08-09/,N/A,N/A,N/A,N/A,Downtown Library,Link Up at the Library with 423 Chain Breakers,N/A,Hang with the 423 Chain Breakers at the coolest library around during Nightfall 2024!
"Baby Bounce at Downtown Monday, Thursday and Saturday 10am",https://chattlibrary.org/event/baby-bounce-at-downtown-monday-thursday-and-saturday-10am/2024-08-10/,N/A,N/A,N/A,N/A,Downtown Library,Baby Bounce at Downtown,N/A,Baby Bounce is a 30-minute program for parents and caregivers of tiny tots aged 1 day to 18 months.
Eastgate Library at Brainerd Farmers’ Market,https://chattlibrary.org/event/eastgate-library-at-brainerd-farmers-market-2/2024-08-10/,N/A,N/A,N/A,N/A,Brainerd Farmers Market,Eastgate Library at Brainerd Farmers’ Market,N/A,Join the Eastgate Library at the Brainerd Farmers' Market!
"Toddler Time at Downtown Monday, Thursday and Saturday 11am",https://chattlibrary.org/event/toddler-time-at-downtown-monday-thursday-and-saturday-11am/2024-08-10/,N/A,N/A,N/A,N/A,Downtown Library,Toddler Time at Downtown,N/A,Toddler Time is a 30-minute action-packed informal learning program for children ages 18 to 36 months.
Saturday Skill Seekers: Kickstart Your Career After Graduation!,https://chattlibrary.org/event/saturday-skill-seekers-3/,N/A,N/A,N/A,N/A,Eastgate Library,Saturday Skill Seekers,N/A,Join us once a month at Eastgate for Saturday Skill Seekers! Each program will teach adults about a specific topic and then we'll go over the library and community resources that are available to you. Each program will start at 2:00 PM. Upcoming Dates: August 10- Kickstart your Career after Graduation! This program will focus […]
Art After Dark with the Hunter Museum,https://chattlibrary.org/event/art-after-dark-with-the-hunter-museum-2/,N/A,N/A,N/A,N/A,Downtown Library,N/A,N/A,"Join us at the Downtown Chattanooga Public Library on the Second Saturday of every month from 6-8 PM. These teen-only events feature hands-on artmaking led by Hunter Museum staff, snacks and exclusive after-hours access to the library. This month we will be screening the Studio Ghibli masterpiece Spirited Away and making our own soot sprite […]"
Sunday Studios at The Hunter Museum,https://chattlibrary.org/event/sunday-studios-at-the-hunter-museum/2024-08-11/,N/A,N/A,N/A,N/A,The Hunter Museum,Sunday Studio at The Hunter,N/A,Join us at The Hunter Museum from 2-4 pm on the 2nd Sunday of each month for Family Fun Day... FREE with your library card!
"Baby Bounce at Downtown Monday, Thursday and Saturday 10am",https://chattlibrary.org/event/baby-bounce-at-downtown-monday-thursday-and-saturday-10am/2024-08-12/,N/A,N/A,N/A,N/A,Downtown Library,Baby Bounce at Downtown,N/A,Baby Bounce is a 30-minute program for parents and caregivers of tiny tots aged 1 day to 18 months.
Music & Movement Eastgate,https://chattlibrary.org/event/music-movement-eastgate/2024-08-12/,N/A,N/A,N/A,N/A,Eastgate Library,Music & Movement Eastgate,N/A,An exploration of music through song and dance for children ages 0-5.
"Toddler Time at Downtown Monday, Thursday and Saturday 11am",https://chattlibrary.org/event/toddler-time-at-downtown-monday-thursday-and-saturday-11am/2024-08-12/,N/A,N/A,N/A,N/A,Downtown Library,Toddler Time at Downtown,N/A,Toddler Time is a 30-minute action-packed informal learning program for children ages 18 to 36 months.
Full Steam Ahead South Chatt,https://chattlibrary.org/event/full-steam-ahead-south-chatt/2024-08-12/,N/A,N/A,N/A,N/A,South Chattanooga Library,Full Steam Ahead South Chatt,N/A,Full STEAM Ahead is a program designed for kids in Kindergarten through 3rd grade.
Eastgate Authors,https://chattlibrary.org/event/eastgate-authors/2024-08-12/,N/A,N/A,N/A,N/A,Eastgate Library,Eastgate Authors,N/A,"Join the Eastgate Authors, a group of 3rd-8th graders and library staff, who meet weekly to develop creative writing skills and share their work with each other. Each session offers engaging writing prompts, fun exercises, and constructive feedback to help young writers grow. Participants will explore different genres, from poetry to short stories, and even […]"
Toddler Time at Downtown Tuesday 10am,https://chattlibrary.org/event/toddler-time-at-downtown-tuesday-10am/2024-08-13/,N/A,N/A,N/A,N/A,Downtown Library,Toddler Time at Downtown,N/A,Toddler Time is a 30-minute action-packed informal learning program for children ages 18 to 36 months.
Baby Bounce at Eastgate Tuesday 10am,https://chattlibrary.org/event/baby-bounce-at-eastgate-tuesday-10am/2024-08-13/,N/A,N/A,N/A,N/A,Eastgate Library,Baby Bounce at Eastgate,N/A,Baby Bounce is a 30-minute program for parents and caregivers of tiny tots aged 1 day to 18 months.
Preschool Storytime at Northgate Tuesday 10am,https://chattlibrary.org/event/preschool-storytime-at-northgate-tuesday-10am/2024-08-13/,N/A,N/A,N/A,N/A,Northgate Library,Preschool Storytime at Northgate,N/A,Preschool Storytime is a 45-minute program for children ages 3 to 5 years old and their favorite adult.
