title,url,date,start_time,end_time,image_url,location,recurrence
Nightfall 2024,https://www.cha.guide/events/events/nightfall-2024-12,2024-08-09,,,,Miller Plaza & Miller Park,
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-18,2024-08-09,,,,Tennessee Valley Railroad Museum,
"""Dive-In Movie"" at the Town Pool",https://www.cha.guide/events/events/dive-in-movie-at-the-town-pool,2024-08-09,,,,Town of Signal Mountain,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-40,2024-08-10,,,,Tennessee Aquarium Plaza,
Wild Wonders: A Close Encounter with Native Animals,https://www.cha.guide/events/events/wild-wonders-a-close-encounter-with-native-animals,2024-08-10,,,,Reflection Riding Arboretum & Nature Center,
Chickamauga Turn,https://www.cha.guide/events/events/chickamauga-turn-17,2024-08-10,,,,Tennessee Valley Railroad Museum,
No Scrubs: 90s Dance Party,https://www.cha.guide/events/events/no-scrubs-90s-dance-party,2024-08-10,,,,The Signal - Concert Hall,
Riverfront Nights,https://www.cha.guide/events/events/riverfront-nights-12,2024-08-10,,,,Ross’s Landing,
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-19,2024-08-10,,,,Tennessee Valley Railroad Museum,
Chattanooga Margarita Festival,https://www.cha.guide/events/events/chattanooga-margarita-festival,2024-08-10,,,,First Horizon Pavilion,
An Abyss of Lurid Darkness: Artillery on Lookout Mountain,https://www.cha.guide/events/events/an-abyss-of-lurid-darkness-artillery-on-lookout-mountain,2024-08-10,,,,Chickamauga & Chattanooga National Military Park,
JAWS: THE REVENGE - Beach Movie Night at Chester Frost Park,https://www.cha.guide/events/events/jaws-the-revenge-beach-movie-night-at-chester-frost-park,2024-08-10,,,,Chester Frost Park Beach,
Toy Story in the Little Debbie Park,https://www.cha.guide/events/events/toy-story-in-the-little-debbie-park,2024-08-10,,,,Little Debbie Park - Main Pavilion,
The 2024 MAC Doggie Pool Pawty!,https://www.cha.guide/events/events/the-2024-mac-doggie-pool-pawty,2024-08-10,,,,Carver Community Center,
Buskers Festival,https://www.cha.guide/events/events/buskers-festival,2024-08-11,,,,First Horizon Pavilion,
Sunday Studio: Art Deco Dreams,https://www.cha.guide/events/events/sunday-studio-art-deco-dreams,2024-08-11,,,,Hunter Museum of American Art,
History Tour (Ruby Falls),https://www.cha.guide/events/events/history-tour-ruby-falls,2024-08-12,,,,Ruby Falls,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-45,2024-08-14,,,,Erlanger Medical Mall,
Art Deco And Dance With Ballet Esprit,https://www.cha.guide/events/events/art-deco-and-dance-with-ballet-esprit,2024-08-15,,,,Hunter Museum of American Art,
Business After Hours | Big Chicken,https://www.cha.guide/events/events/business-after-hours-big-chicken,2024-08-15,,,,Big Chicken,
The Concert: A Tribute To ABBA,https://www.cha.guide/events/events/the-concert-a-tribute-to-abba,2024-08-16,,,,Walker Theatre,
Nightfall 2024,https://www.cha.guide/events/events/nightfall-2024-13,2024-08-16,,,,Miller Plaza & Miller Park,
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-20,2024-08-16,,,,Tennessee Valley Railroad Museum,
Wild Wonders: A Close Encounter with Native Animals,https://www.cha.guide/events/events/wild-wonders-a-close-encounter-with-native-animals-2,2024-08-16,,,,Reflection Riding Arboretum & Nature Center,
Chattanooga River Market,https://www.cha.guide/events/events/chattanooga-river-market-41,2024-08-17,,,,Tennessee Aquarium Plaza,
Chickamauga Turn,https://www.cha.guide/events/events/chickamauga-turn-18,2024-08-17,,,,Tennessee Valley Railroad Museum,
Jamey Johnson @ Soldiers and Sailors Memorial Auditorium,https://www.cha.guide/events/events/jamey-johnson-soldiers-and-sailors-memorial-auditorium,2024-08-17,,,,Soldiers and Sailors Memorial Auditorium,
Riverfront Nights,https://www.cha.guide/events/events/riverfront-nights-14,2024-08-17,,,,Ross’s Landing,
EVENING RIDGE RUNNER,https://www.cha.guide/events/events/evening-ridge-runner-21,2024-08-17,,,,Tennessee Valley Railroad Museum,
Artful Yoga,https://www.cha.guide/events/events/artful-yoga,2024-08-18,,,,Hunter Museum of American Art,
Tennessee Harp Trio Community Concert,https://www.cha.guide/events/events/tennessee-harp-trio-community-concert,2024-08-18,,,,Skyline Loft at Ruby Falls,
History Tour (Ruby Falls),https://www.cha.guide/events/events/history-tour-ruby-falls-2,2024-08-19,,,,Ruby Falls,
Night Ranger @ Walker Theatre,https://www.cha.guide/events/events/chris-delia-walker-theatre,2024-08-20,,,,Walker Theatre,
Chattanooga Market at Erlanger,https://www.cha.guide/events/events/chattanooga-market-at-erlanger-46,2024-08-21,,,,Erlanger Medical Mall,
Nightfall 2024,https://www.cha.guide/events/events/nightfall-2024-14,2024-08-23,,,,Miller Plaza & Miller Park,
