title,url,date,start_time,end_time,image_url,location,recurrence
STEAM DIY: Perpetual Calendars,https://chattlibrary.org/events/https://chattlibrary.org/event/steam-diy-2-2/,,,,,Northgate Library,STEAM DIY
Teen Steam at Avondale,https://chattlibrary.org/events/https://chattlibrary.org/event/boss-teen-steam-at-avondale-2/2024-08-09/,,,,,Avondale Library,Teen Steam at Avondale
Link Up at the Library with 423 Chain Breakers,https://chattlibrary.org/events/https://chattlibrary.org/event/link-up-at-the-library-with-423-chain-breakers/2024-08-09/,,,,,Downtown Library,Link Up at the Library with 423 Chain Breakers
"Baby Bounce at Downtown Monday, Thursday and Saturday 10am",https://chattlibrary.org/events/https://chattlibrary.org/event/baby-bounce-at-downtown-monday-thursday-and-saturday-10am/2024-08-10/,,,,,Downtown Library,Baby Bounce at Downtown
Eastgate Library at Brainerd Farmers’ Market,https://chattlibrary.org/events/https://chattlibrary.org/event/eastgate-library-at-brainerd-farmers-market-2/2024-08-10/,,,,,Brainerd Farmers Market,Eastgate Library at Brainerd Farmers’ Market
"Toddler Time at Downtown Monday, Thursday and Saturday 11am",https://chattlibrary.org/events/https://chattlibrary.org/event/toddler-time-at-downtown-monday-thursday-and-saturday-11am/2024-08-10/,,,,,Downtown Library,Toddler Time at Downtown
Saturday Skill Seekers: Kickstart Your Career After Graduation!,https://chattlibrary.org/events/https://chattlibrary.org/event/saturday-skill-seekers-3/,,,,,Eastgate Library,Saturday Skill Seekers
Art After Dark with the Hunter Museum,https://chattlibrary.org/events/https://chattlibrary.org/event/art-after-dark-with-the-hunter-museum-2/,,,,,Downtown Library,
Sunday Studios at The Hunter Museum,https://chattlibrary.org/events/https://chattlibrary.org/event/sunday-studios-at-the-hunter-museum/2024-08-11/,,,,,The Hunter Museum,Sunday Studio at The Hunter
"Baby Bounce at Downtown Monday, Thursday and Saturday 10am",https://chattlibrary.org/events/https://chattlibrary.org/event/baby-bounce-at-downtown-monday-thursday-and-saturday-10am/2024-08-12/,,,,,Downtown Library,Baby Bounce at Downtown
Music & Movement Eastgate,https://chattlibrary.org/events/https://chattlibrary.org/event/music-movement-eastgate/2024-08-12/,,,,,Eastgate Library,Music & Movement Eastgate
"Toddler Time at Downtown Monday, Thursday and Saturday 11am",https://chattlibrary.org/events/https://chattlibrary.org/event/toddler-time-at-downtown-monday-thursday-and-saturday-11am/2024-08-12/,,,,,Downtown Library,Toddler Time at Downtown
Full Steam Ahead South Chatt,https://chattlibrary.org/events/https://chattlibrary.org/event/full-steam-ahead-south-chatt/2024-08-12/,,,,,South Chattanooga Library,Full Steam Ahead South Chatt
Eastgate Authors,https://chattlibrary.org/events/https://chattlibrary.org/event/eastgate-authors/2024-08-12/,,,,,Eastgate Library,Eastgate Authors
Toddler Time at Downtown Tuesday 10am,https://chattlibrary.org/events/https://chattlibrary.org/event/toddler-time-at-downtown-tuesday-10am/2024-08-13/,,,,,Downtown Library,Toddler Time at Downtown
