title,url,date,start_time,end_time,image_url,location,recurrence
Chickamauga Dam Lock Kayak Tour,,2024-08-09,,,https://www.chattanoogapulse.com/downloads/30593/download/PXL_20240802_155527261%7E3.jpg?cb=acf96a4abe66f86623600a790aa0db53&w=220&h=,Chickamauga Dam Lock Kayak Tour,"Education & Learning, Kids & Family, Outdoor"
"""Home and Away""",,,,,https://www.chattanoogapulse.com/downloads/30541/download/Chattanooga%20collage%20copy.jpeg?cb=79413bc09bafa89826745761c49f6e8d&w=220&h=,"""Home and Away""",Art & Exhibitions
Nightfall Free Summer Concert Series,,,,,https://www.chattanoogapulse.com/downloads/30275/download/Nightfall%202024.png?cb=ff9543823510f4318dcfddd71fbb45da&w=220&h=,Nightfall Free Summer Concert Series,"Concerts & Live Music, Festivals & Fairs, Kids & Family"
Rhyme Over Wine Spoken Word Poetry Open Mic Nights at the Winery,,,,,,Rhyme Over Wine Spoken Word Poetry Open Mic Nights at the Winery,"Art & Exhibitions, Education & Learning, Talks & Readings"
Bat Cave Kayak Tour with Chattanooga Guided Adventures,,,,,https://www.chattanoogapulse.com/downloads/30592/download/PXL_20240317_231122463.jpg?cb=dc76234db6bf6ac8c662f89b5fa96df7&w=220&h=,Bat Cave Kayak Tour with Chattanooga Guided Adventures,"Education & Learning, Kids & Family, Outdoor"
Jesse James Junkurth,,,,,https://www.chattanoogapulse.com/downloads/16343/download/Jesse%20James%20Jungkurth.png?cb=d817157cd34c211a4e7067133d5042b6&w=220&h=,Jesse James Junkurth,Concerts & Live Music
Latin Night,,,,,https://www.chattanoogapulse.com/downloads/18619/download/Latin%20Night.png?cb=83374c6578362fe2d102e55224ace1a1&w=220&h=,Latin Night,"Concerts & Live Music, Theater & Dance"
"Marty Haggard: A Tribute to Merle Haggard ""My Dad""",,2024-08-10,08:00,,https://www.chattanoogapulse.com/downloads/28089/download/Marty-Haggard-2024-1024x683.png?cb=78175e58f3a506730d75a39d1f08e4e6&w=220&h=,"Marty Haggard: A Tribute to Merle Haggard ""My Dad""",Concerts & Live Music
Chickamauga Dam Lock Kayak Tour,,2024-08-10,,,https://www.chattanoogapulse.com/downloads/30593/download/PXL_20240802_155527261%7E3.jpg?cb=acf96a4abe66f86623600a790aa0db53&w=220&h=,Chickamauga Dam Lock Kayak Tour,"Education & Learning, Kids & Family, Outdoor"
Colors from the Garden: Natural Dyes,,,,,https://www.chattanoogapulse.com/downloads/30403/download/8.10.24%20-%20Nat%20Dye.png?cb=6c7cf7e2c56755f5a271bb061a67ff4d&w=220&h=,Colors from the Garden: Natural Dyes,"Art & Exhibitions, Education & Learning, This & That"
Plum Nelly Depot Art Show,,,,,https://www.chattanoogapulse.com/downloads/29353/download/plum%20nelly%20art.png?cb=ddf3ee51ffce0943d153a55f08a3bd00&w=220&h=,Plum Nelly Depot Art Show,"Art & Exhibitions, Markets"
Beginner I Bachata Dance Course,,,,,https://www.chattanoogapulse.com/downloads/30383/download/1.png?cb=4cec7b6a243f4af676237ed5670d5665&w=220&h=,Beginner I Bachata Dance Course,Theater & Dance
JAWS: THE REVENGE - Beach Movie Night at Chester Frost Park,,,,,https://www.chattanoogapulse.com/downloads/30581/download/Jaws%20The%20Revenge%208.10.24%20Flyer%20w%20Event%20Page%20QR.png?cb=196043c223630360ad96e8d64c72864e&w=220&h=,JAWS: THE REVENGE - Beach Movie Night at Chester Frost Park,"Kids & Family, Outdoor, This & That"
Chattanooga Margarita Festival,,,,,https://www.chattanoogapulse.com/downloads/30005/download/CMF3.jpg?cb=42efe263a9469cc33a3254e0beff23af&w=220&h=,Chattanooga Margarita Festival,Festivals & Fairs
Chattanooga Margarita Festival,,,,,https://www.chattanoogapulse.com/downloads/28448/download/Chattanooga%20Margarita%20Festival.png?cb=0a83b136ceeb534e3195a69e25f0681a&w=220&h=,Chattanooga Margarita Festival,"Charity & Fundraisers, Festivals & Fairs, Food & Drink"
The Dinner Detective Comedy Mystery Dinner Show,,,,,https://www.chattanoogapulse.com/downloads/29928/download/72771.jpeg?cb=d076ea6417de50ae36a273548ae987ba&w=220&h=,The Dinner Detective Comedy Mystery Dinner Show,"Comedy, Food & Drink"
Bat Cave Kayak Tour with Chattanooga Guided Adventures,,,,,https://www.chattanoogapulse.com/downloads/30592/download/PXL_20240317_231122463.jpg?cb=dc76234db6bf6ac8c662f89b5fa96df7&w=220&h=,Bat Cave Kayak Tour with Chattanooga Guided Adventures,"Education & Learning, Kids & Family, Outdoor"
Klark Kint,,,,,https://www.chattanoogapulse.com/downloads/30425/download/Klark%20Kint%20Banner.png?cb=1190096bd5c830d33f5a28971eb2070f&w=220&h=,Klark Kint,Concerts & Live Music
No Scrubs: 90s Dance Party,,,,,https://www.chattanoogapulse.com/downloads/30221/download/74605.jpeg?cb=9c7e0ba708945a6c6686828a70f23dd1&w=220&h=,No Scrubs: 90s Dance Party,"Concerts & Live Music, Theater & Dance"
Chickamauga Dam Lock Kayak Tour,,2024-08-11,,,https://www.chattanoogapulse.com/downloads/30593/download/PXL_20240802_155527261%7E3.jpg?cb=acf96a4abe66f86623600a790aa0db53&w=220&h=,Chickamauga Dam Lock Kayak Tour,"Education & Learning, Kids & Family, Outdoor"
