title,url,date,start_time,end_time,image_url,location,recurrence,category,details
Nightfall 2024,N/A,2024-08-09,,,N/A,Miller Plaza & Miller Park,,"['', '', '', '', '', '']","The free Nightfall concert series, produced by Chattanooga Presents, will be held each Friday night from May 24 through August 30 2024 - rai...Cost: $"
EVENING RIDGE RUNNER,N/A,2024-08-09,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
"""Dive-In Movie"" at the Town Pool",N/A,2024-08-09,,,N/A,Town of Signal Mountain,,"['', '', '', '', '', '']","On Friday, August 9th, the Town of Signal Mountain's Parks & Recreation Board is hosting their inaugural ""Dive-In Movie"" at the Town Pool. W...Cost: $5"
Chattanooga River Market,N/A,2024-08-10,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
Wild Wonders: A Close Encounter with Native Animals,N/A,2024-08-10,,,N/A,Reflection Riding Arboretum & Nature Center,,"['', '', '', '', '', '']",Take a tour through the Native Animal Area and get a closer look at the animal ambassadors and what makes them important in our ecosystem....Cost: $Donation
Chickamauga Turn,N/A,2024-08-10,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ...Cost: $58+"
No Scrubs: 90s Dance Party,N/A,2024-08-10,,,N/A,The Signal - Concert Hall,,"['', '', '', '', '', '']","No Scrubs features rad DJs and 90s visuals that will transport you back to the days of fanny packs and AOL!
We've got the 411: at No Scrubs,...Cost: $26+"
Riverfront Nights,N/A,2024-08-10,,,N/A,Ross’s Landing,,"['', '', '', '', '', '']",Join Friends of the Festival for “Fourteen Saturdays of Summer” from Memorial Day to Labor Day weekend at Ross’s Landing for FREE live music...Cost: $
EVENING RIDGE RUNNER,N/A,2024-08-10,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
Chattanooga Margarita Festival,N/A,2024-08-10,,,N/A,First Horizon Pavilion,,"['', '', '', '', '', '']",Join Chattanoga Market at the First Horizon Pavilion as Chattanooga’s favorite restaurants compete for the title of Best Margarita in town! ...Cost: $54-95
An Abyss of Lurid Darkness: Artillery on Lookout Mountain,N/A,2024-08-10,,,N/A,Chickamauga & Chattanooga National Military Park,,"['', '', '', '', '', '']","Chickamauga and Chattanooga National Military Park will conduct artillery firing demonstrations, each lasting approximately 30 minutes, insi...Cost: $"
JAWS: THE REVENGE - Beach Movie Night at Chester Frost Park,N/A,2024-08-10,,,N/A,Chester Frost Park Beach,,"['', '', '', '', '', '']",Have you ever wanted to swim with sharks? Now’s your chance!...Cost: $
Toy Story in the Little Debbie Park,N/A,2024-08-10,,,N/A,Little Debbie Park - Main Pavilion,,"['', '', '', '', '', '']",Join for an all-ages night of fun with the showing of Toy Story in the Little Debbie Park. Food Trucks and activities will begin at 6:30pm. ...Cost: $
The 2024 MAC Doggie Pool Pawty!,N/A,2024-08-10,,,N/A,Carver Community Center,,"['', '', '', '', '', '']","Join McKamey Animal Center on Saturday, August 10th from 10 AM to 3 PM, at the Carver Community Center, for the ultimate splash-tastic event...Cost: $20"
Buskers Festival,N/A,2024-08-11,,,N/A,First Horizon Pavilion,,"['', '', '', '', '', '']",Enjoy street style entertainment tucked into various corners of the Market this Sunday — tips are appreciated! It’s also still prime produce...Cost: $
Sunday Studio: Art Deco Dreams,N/A,2024-08-11,,,N/A,Hunter Museum of American Art,,"['', '', '', '', '', '']",Enjoy drop-in art experiences for kids and families and make your own creation inspired by artworks in the Hunter’s special exhibition Art D...Cost: $
History Tour (Ruby Falls),N/A,2024-08-12,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level...Cost: $39.95
Chattanooga Market at Erlanger,N/A,2024-08-14,,,N/A,Erlanger Medical Mall,,"['', '', '', '', '', '']",The Erlanger Market is a smaller version of the popular downtown Chattanooga Market. It’s located in the Erlanger Medical Mall (across from ...Cost: $
Art Deco And Dance With Ballet Esprit,N/A,2024-08-15,,,N/A,Hunter Museum of American Art,,"['', '', '', '', '', '']","In an exhibition-inspired performance, Ballet Esprit will bring Art Deco Glass to life through dance....Cost: $"
Business After Hours | Big Chicken,N/A,2024-08-15,,,N/A,Big Chicken,,"['', '', '', '', '', '']",Business After Hours brings in an average of 200 business folks from around Chattanooga for refreshments & networking. This month's Business...Cost: $
The Concert: A Tribute To ABBA,N/A,2024-08-16,,,N/A,Walker Theatre,,"['', '', '', '', '', '']","The Concert continues to be the top ABBA tribute group in the world, dazzling with their fantastic performance while playing the most iconic...Cost: $49+"
Nightfall 2024,N/A,2024-08-16,,,N/A,Miller Plaza & Miller Park,,"['', '', '', '', '', '']","The free Nightfall concert series, produced by Chattanooga Presents, will be held each Friday night from May 24 through August 30 2024 - rai...Cost: $"
EVENING RIDGE RUNNER,N/A,2024-08-16,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
Wild Wonders: A Close Encounter with Native Animals,N/A,2024-08-16,,,N/A,Reflection Riding Arboretum & Nature Center,,"['', '', '', '', '', '']",Take a tour through the Native Animal Area and get a closer look at the animal ambassadors and what makes them important in our ecosystem....Cost: $Donation
Chattanooga River Market,N/A,2024-08-17,,,N/A,Tennessee Aquarium Plaza,,"['', '', '', '', '', '']","Shop dozens of local and regional artists on the Tennessee Aquarium Plaza. You’ll find beautiful jewelry, hand-made crafts, artisan foods, w...Cost: $"
Chickamauga Turn,N/A,2024-08-17,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","All aboard the Chickamauga Turn for a 6-hour ride to the historic Civil War town of Chickamauga, Georgia, via the former Central of Georgia ...Cost: $58+"
Jamey Johnson @ Soldiers and Sailors Memorial Auditorium,N/A,2024-08-17,,,N/A,Soldiers and Sailors Memorial Auditorium,,"['', '', '', '', '', '']",Jamey Johnson: What A View Tour with Ben Haggard and Emily Ann Roberts...Cost: $45+
Riverfront Nights,N/A,2024-08-17,,,N/A,Ross’s Landing,,"['', '', '', '', '', '']",Join Friends of the Festival for “Fourteen Saturdays of Summer” from Memorial Day to Labor Day weekend at Ross’s Landing for FREE live music...Cost: $
EVENING RIDGE RUNNER,N/A,2024-08-17,,,N/A,Tennessee Valley Railroad Museum,,"['', '', '', '', '', '']","Join Tennessee Valley Railroad Museum on their annual Evening Ridge Runner train ride. As the sun sets over beautiful Chattanooga, enjoy thi...Cost: $15-24"
Artful Yoga,N/A,2024-08-18,,,N/A,Hunter Museum of American Art,,"['', '', '', '', '', '']",Join The Hunter for an art-inspired yoga practice led this month by Jona Ellis. Artful Yoga is an ongoing series connecting art from the Hun...Cost: $5
Tennessee Harp Trio Community Concert,N/A,2024-08-18,,,N/A,Skyline Loft at Ruby Falls,,"['', '', '', '', '', '']","Join Ruby Falls for a free community concert featuring the Tennessee Harp Trio, hosted by Skyline Loft. The Tennessee Harp Trio will perform...Cost: $"
History Tour (Ruby Falls),N/A,2024-08-19,,,N/A,Ruby Falls,,"['', '', '', '', '', '']",Discover the incredible lore and rich history of Ruby Falls while exploring the cavern trail to the thundering waterfall with a senior-level...Cost: $39.95
Night Ranger @ Walker Theatre,N/A,2024-08-20,,,N/A,Walker Theatre,,"['', '', '', '', '', '']",Night Ranger: Live in Concert...Cost: $59+
