title,url,date,start_time,end_time,image_url,location,recurrence,category,details
"""Home and Away""",N/A,,,,N/A,"""Home and Away""",Art & Exhibitions,N/A,N/A
Nightfall Free Summer Concert Series,N/A,,,,N/A,Nightfall Free Summer Concert Series,"Concerts & Live Music, Festivals & Fairs, Kids & Family",N/A,N/A
Rhyme Over Wine Spoken Word Poetry Open Mic Nights at the Winery,N/A,,,,N/A,Rhyme Over Wine Spoken Word Poetry Open Mic Nights at the Winery,"Art & Exhibitions, Education & Learning, Talks & Readings",N/A,N/A
Bat Cave Kayak Tour with Chattanooga Guided Adventures,N/A,,,,N/A,Bat Cave Kayak Tour with Chattanooga Guided Adventures,"Education & Learning, Kids & Family, Outdoor",N/A,N/A
Jesse James Junkurth,N/A,,,,N/A,Jesse James Junkurth,Concerts & Live Music,N/A,N/A
Latin Night,N/A,,,,N/A,Latin Night,"Concerts & Live Music, Theater & Dance",N/A,N/A
Chickamauga Dam Lock Kayak Tour,N/A,2024-08-09,,,N/A,Chickamauga Dam Lock Kayak Tour,"Education & Learning, Kids & Family, Outdoor",N/A,N/A
"Marty Haggard: A Tribute to Merle Haggard ""My Dad""",N/A,2024-08-10,08:00,,N/A,"Marty Haggard: A Tribute to Merle Haggard ""My Dad""",Concerts & Live Music,N/A,N/A
Chickamauga Dam Lock Kayak Tour,N/A,2024-08-10,,,N/A,Chickamauga Dam Lock Kayak Tour,"Education & Learning, Kids & Family, Outdoor",N/A,N/A
Colors from the Garden: Natural Dyes,N/A,,,,N/A,Colors from the Garden: Natural Dyes,"Art & Exhibitions, Education & Learning, This & That",N/A,N/A
Plum Nelly Depot Art Show,N/A,,,,N/A,Plum Nelly Depot Art Show,"Art & Exhibitions, Markets",N/A,N/A
Beginner I Bachata Dance Course,N/A,,,,N/A,Beginner I Bachata Dance Course,Theater & Dance,N/A,N/A
JAWS: THE REVENGE - Beach Movie Night at Chester Frost Park,N/A,,,,N/A,JAWS: THE REVENGE - Beach Movie Night at Chester Frost Park,"Kids & Family, Outdoor, This & That",N/A,N/A
Chattanooga Margarita Festival,N/A,,,,N/A,Chattanooga Margarita Festival,Festivals & Fairs,N/A,N/A
Chattanooga Margarita Festival,N/A,,,,N/A,Chattanooga Margarita Festival,"Charity & Fundraisers, Festivals & Fairs, Food & Drink",N/A,N/A
The Dinner Detective Comedy Mystery Dinner Show,N/A,,,,N/A,The Dinner Detective Comedy Mystery Dinner Show,"Comedy, Food & Drink",N/A,N/A
Bat Cave Kayak Tour with Chattanooga Guided Adventures,N/A,,,,N/A,Bat Cave Kayak Tour with Chattanooga Guided Adventures,"Education & Learning, Kids & Family, Outdoor",N/A,N/A
Klark Kint,N/A,,,,N/A,Klark Kint,Concerts & Live Music,N/A,N/A
No Scrubs: 90s Dance Party,N/A,,,,N/A,No Scrubs: 90s Dance Party,"Concerts & Live Music, Theater & Dance",N/A,N/A
Chickamauga Dam Lock Kayak Tour,N/A,2024-08-11,,,N/A,Chickamauga Dam Lock Kayak Tour,"Education & Learning, Kids & Family, Outdoor",N/A,N/A
