title,url,date,start_time,end_time,image_url,location,recurrence,category,details,source
Chickamauga Dam Lock Through Kayak Tour with Chattanooga Guided Adventures,https://www.visitchattanooga.com/events//event/chickamauga-dam-lock-through-kayak-tour-with-chattanooga-guided-adventures/19807/,2024-08-12,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/CGA-Chickamanga_17047717-561C-4434-B479C10F432C4937_42bd9946-ca66-4b83-9259ff2418b75f33.jpg",Hubert Fry Center Boatramp,"Recurring daily until November 10, 2024",N/A,N/A,Visit Chattanooga
Deadpool & Wolverine in IMAX!,https://www.visitchattanooga.com/events//event/deadpool-%26-wolverine-in-imax!/20885/,2024-08-12,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/SUB6400_comp_FRM_v0220.1387_R_228096AB-B639-4512-975312EDA16B40DF_08a685ff-4a2f-45c9-bf452d06e775dbdf.jpg",Tennessee Aquarium IMAX 3D Theater,N/A,N/A,N/A,Visit Chattanooga
Exhibit Admission,https://www.visitchattanooga.com/events//event/exhibit-admission/17763/,2024-08-12,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Tennessee-Valley-Railroad-Museum-Exhibit-Building-03-scaled_4F4495E7-023E-49F5-89D214567AE32153_fc60f811-20ec-4b1f-80574d7f0d0d1c4a.jpg",Tennessee Valley Railroad Museum,"Recurring daily until December 23, 2024",N/A,N/A,Visit Chattanooga
Mountain Bike Rental with Chattanooga Guided Adventures,https://www.visitchattanooga.com/events//event/mountain-bike-rental-with-chattanooga-guided-adventures/19809/,2024-08-12,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Incline-Railway-Bike-Tour_E81C8BF8-A9AE-4386-99A3AE8E86E6EFF0_8c1b23e6-485b-4296-9d4b5d7719fd0143.jpg",Chattanooga Guided Adventures,"Recurring daily until January 21, 2025",N/A,N/A,Visit Chattanooga
Nickajack Bat Cave Kayak Tour with Chattanooga Guided Adventures,https://www.visitchattanooga.com/events//event/nickajack-bat-cave-kayak-tour-with-chattanooga-guided-adventures/19747/,2024-08-12,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Nickajack-Bat-Cave-Sunset-Kayak-Tour_6F28E129-02C9-4D96-A9031235E67BFB56_4fca779d-b1b8-4613-9d4c7a0faa9487a5.jpg",Chattanooga Guided Adventures,"Recurring daily until October 13, 2024",N/A,N/A,Visit Chattanooga
Ruby Falls History Exhibit: Celebrating 95 Years of Wonder!,https://www.visitchattanooga.com/events//event/ruby-falls-history-exhibit%3a-celebrating-95-years-of-wonder!/20838/,2024-08-12,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/exhibit_67559FE5-978B-483E-8D00CCB039CDF985_42d2cd7d-a013-4fa8-9169c14e67bb5dcb.jpg",Ruby Falls,"Recurring daily until October 20, 2024",N/A,N/A,Visit Chattanooga
"""Home and Away""",https://www.visitchattanooga.com/events//event/home-and-away/21247/,2024-08-12,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Chattanooga-collage-copy_3A4D3FC1-A17E-974B-6BF212B8FF3C24B0_3a55b2a8-c680-313c-36860ca4ad8df2c3.jpg",In-Town Gallery,"Recurring daily until August 31, 2024",N/A,N/A,Visit Chattanooga
History Tour - New Cave Adventure!,https://www.visitchattanooga.com/events//event/history-tour-new-cave-adventure!/20729/,2024-08-12,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/History-Tour_03F38BD5-B899-4F31-B99475A7612C4AB1_ce536786-a5b0-44cc-85359e8800fa2601.jpg",Ruby Falls,N/A,N/A,N/A,Visit Chattanooga
Bobby Rush x Davis Wayne's (Songbirds Music + Food Series),https://www.visitchattanooga.com/events//event/bobby-rush-x-davis-waynes-(songbirds-music-%2b-food-series)/21197/,2024-08-13,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Bobby-Rush-IG-V2_F813A4BF-B7A9-F293-EF26B4F263708767_f84ce2d1-f057-e65a-5204d8440a568b7d.png",Songbirds,N/A,N/A,N/A,Visit Chattanooga
Chattanooga Lookouts vs. Rocket City Trash Pandas,https://www.visitchattanooga.com/events//event/chattanooga-lookouts-vs-rocket-city-trash-pandas/20098/,2024-08-13,,,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Chattanooga-Lookouts-Logo_CAEE7C75-090A-6331-4080F18DFEC46DB3_caf8a40f-9143-8c3c-e043250a09009c06.png",Chattanooga Lookouts AT&T Field,N/A,N/A,N/A,Visit Chattanooga
